model_id,total_macs,conv_macs,linear_macs,flatten_dim,params,depth,rk3566_ms,cpu_mean_ms,vulkan_mean_ms
cnn_test,77971456,77266944,704512,16384,765243,4,0.89,10.335,24.0372
d3_k3,31490048,30081024,1409024,32768,1423483,3,1.607,7.14381,20.1949
d5_k3,118194176,116785152,1409024,32768,1548811,5,1.79,15.8336,29.1224
d5_k5,325812224,324403200,1409024,32768,1796107,5,2.461,35.1691,89.4754
A1,40222720,39518208,704512,16384,728251,3,0.783,6.67986,19.583
A5,162906112,162201600,704512,16384,848507,7,1.151,17.2719,33.1877
B2,272678912,271974400,704512,16384,886539,4,1.451,29.3863,71.8768
C1,270598144,267780096,2818048,65536,2883851,4,3.657,30.9943,44.8115
C3,69775360,69599232,176128,4096,241931,4,0.613,9.88335,21.9249
D3,193691648,192282624,1409024,32768,1539531,4,2.14,20.2958,28.7721
V1,32555008,31850496,704512,16384,719467,3,0.739,7.56502,20.2101
V3,82073600,81985536,88064,2048,167291,5,0.603,9.82051,23.4382
V10,324755456,324403200,352256,8192,739339,5,1.416,33.8662,82.0159
V11,119603200,116785152,2818048,65536,2846859,3,3.191,19.4356,28.5732
