model_id,params,total_macs,conv_macs,linear_macs,flatten_dim,depth,channels,kernel_size,cpu_mean_ms,vulkan_mean_ms,cpu_vulkan_ratio
cnn_test,765243,77971456,77266944,704512,16384,4,"[16, 32, 64, 64]",3,10.2368,25.175,0.407
d3_k3,1423483,31490048,30081024,1409024,32768,3,"[16, 32, 32]",3,7.74002,21.1387,0.366
d5_k3,1548811,118194176,116785152,1409024,32768,5,"[32, 32, 64, 64, 128]",3,15.4933,26.5621,0.583
d5_k5,1796107,325812224,324403200,1409024,32768,5,"[32, 32, 64, 64, 128]",5,35.8248,85.7024,0.418
A1,728251,40222720,39518208,704512,16384,3,"[16, 32, 64]",3,6.71402,18.2606,0.368
A5,848507,162906112,162201600,704512,16384,7,"[16, 32, 32, 64, 64, 64, 64]",3,17.3623,32.2365,0.539
B2,886539,272678912,271974400,704512,16384,4,"[32, 32, 64, 64]","[5, 5, 5, 5]",29.3877,70.9768,0.414
C1,2883851,270598144,267780096,2818048,65536,4,"[32, 32, 64, 64]",3,31.1223,40.4512,0.769
C3,241931,69775360,69599232,176128,4096,4,"[32, 32, 64, 64]",3,9.95934,22.3209,0.446
D3,1539531,193691648,192282624,1409024,32768,4,"[32, 64, 64, 128]",3,20.2014,28.8563,0.7
V1,719467,32555008,31850496,704512,16384,3,"[32, 16, 64]",3,7.59267,18.9553,0.401
V3,167291,82073600,81985536,88064,2048,5,"[16, 32, 64, 64, 32]",3,9.87682,23.9023,0.413
V10,739339,324755456,324403200,352256,8192,5,"[32, 32, 64, 64, 128]",5,33.5915,81.5498,0.412
V11,2846859,119603200,116785152,2818048,65536,3,"[32, 32, 64]",3,19.2754,28.4623,0.677
FD4K,269643,126398464,126222336,176128,4096,4,"[32, 64, 64, 64]",3,14.3264,23.7659,0.603
FD8K,482763,136011776,135659520,352256,8192,4,"[32, 64, 64, 128]",3,15.1786,23.3272,0.651
FD16K,798027,155238400,154533888,704512,16384,4,"[32, 64, 64, 64]",3,17.2129,25.6056,0.672
FD32K,1539531,193691648,192282624,1409024,32768,4,"[32, 64, 64, 128]",3,20.1153,28.7222,0.7
FD64K,2911563,383844352,381026304,2818048,65536,4,"[32, 64, 64, 64]",3,38.7029,46.8805,0.826
XL1,1817323,536969216,535560192,1409024,32768,5,"[64, 64, 128, 128, 128]",3,41.3392,50.3857,0.82
XL2,2541291,1489076224,1487667200,1409024,32768,5,"[64, 64, 128, 128, 128]",5,139.909,351.898,0.398
MD1,246139,44412928,44236800,176128,4096,5,"[16, 32, 32, 64, 64]",3,6.85683,18.3387,0.374
MD2,1506747,116424704,115015680,1409024,32768,4,"[16, 32, 64, 128]",3,13.4271,25.4665,0.527
MD3,529035,126574592,126222336,352256,8192,6,"[32, 32, 64, 64, 64, 128]",3,14.5138,32.3539,0.449
MK5,1667915,430669824,429260800,1409024,32768,3,"[32, 64, 128]",5,45.7792,108.771,0.421
