model,backend,mean_ms,median_ms,min_ms,max_ms,std_ms,p95_ms
models/cnn_test,cpu,10.335,10.2504,10.0216,12.7671,0.358701,11.2102
models/cnn_test,vulkan,24.0372,24.8654,18.9065,32.4203,2.11516,27.3912
models/d3_k3,cpu,7.14381,7.10171,6.8635,8.29063,0.222332,7.73283
models/d3_k3,vulkan,20.1949,18.3481,16.7766,34.6735,3.36527,24.2733
models/d5_k3,cpu,15.8336,15.7228,15.414,18.3923,0.405018,16.7246
models/d5_k3,vulkan,29.1224,28.7022,26.7427,37.8101,1.60333,32.7827
models/d5_k5,cpu,35.1691,34.947,34.6418,37.3387,0.476027,36.0991
models/d5_k5,vulkan,89.4754,88.8599,87.2108,99.4764,2.06503,94.7315
models/A1,cpu,6.67986,6.63775,6.37625,8.02421,0.253433,6.94175
models/A1,vulkan,19.583,18.7344,17.2934,34.9052,2.52126,25.6605
models/A5,cpu,17.2719,17.1447,16.8647,19.5783,0.374452,18.032
models/A5,vulkan,33.1877,32.9094,25.1248,49.6436,4.46056,41.8991
models/B2,cpu,29.3863,29.2228,29.0328,31.6597,0.424743,30.1878
models/B2,vulkan,71.8768,71.0457,69.781,78.5479,2.22298,78.1662
models/C1,cpu,30.9943,30.7727,30.396,33.7716,0.589487,32.2696
models/C1,vulkan,44.8115,43.3181,41.8774,57.6245,3.1448,52.3527
models/C3,cpu,9.88335,9.805,9.61554,11.318,0.288893,10.5749
models/C3,vulkan,21.9249,21.2222,19.4777,32.6074,2.2966,29.1516
models/D3,cpu,20.2958,20.158,19.8965,22.6252,0.404006,21.1218
models/D3,vulkan,28.7721,28.3576,26.776,39.5035,1.48834,30.2672
models/V1,cpu,7.56502,7.52488,7.28375,8.88733,0.21393,8.00954
models/V1,vulkan,20.2101,18.9581,17.4497,32.9366,2.90254,27.899
models/V3,cpu,9.82051,9.71179,9.46933,13.7409,0.478861,10.6812
models/V3,vulkan,23.4382,23.1943,20.2445,35.7679,2.05267,25.2572
models/V10,cpu,33.8662,33.6464,33.3647,38.4599,0.563007,34.7245
models/V10,vulkan,82.0159,81.275,79.6083,94.6654,2.61082,88.9468
models/V11,cpu,19.4356,19.2597,18.9852,22.0705,0.468218,20.3238
models/V11,vulkan,28.5732,27.792,25.8374,43.0141,2.79671,35.9681
