model_id,rk_full_ms,rk_conv_part_ms,h618_linear_part_ms,hete_no_transfer_ms,note
cnn_test,0.999,0.232,0.843,1.075,"hete = RK_conv + H618_linear (无传输, 理论)"
d3_k3,1.544,0.09,1.687,1.777,"hete = RK_conv + H618_linear (无传输, 理论)"
d5_k3,1.804,0.35,1.687,2.037,"hete = RK_conv + H618_linear (无传输, 理论)"
d5_k5,2.427,0.973,1.687,2.66,"hete = RK_conv + H618_linear (无传输, 理论)"
A1,0.885,0.119,0.843,0.962,"hete = RK_conv + H618_linear (无传输, 理论)"
A5,1.254,0.487,0.843,1.33,"hete = RK_conv + H618_linear (无传输, 理论)"
B2,1.583,0.816,0.843,1.659,"hete = RK_conv + H618_linear (无传输, 理论)"
C1,3.631,0.803,3.373,4.177,"hete = RK_conv + H618_linear (无传输, 理论)"
C3,0.461,0.209,0.211,0.42,"hete = RK_conv + H618_linear (无传输, 理论)"
D3,2.031,0.577,1.687,2.263,"hete = RK_conv + H618_linear (无传输, 理论)"
V1,0.862,0.096,0.843,0.939,"hete = RK_conv + H618_linear (无传输, 理论)"
V3,0.412,0.246,0.105,0.351,"hete = RK_conv + H618_linear (无传输, 理论)"
V10,1.397,0.973,0.422,1.395,"hete = RK_conv + H618_linear (无传输, 理论)"
V11,3.178,0.35,3.373,3.724,"hete = RK_conv + H618_linear (无传输, 理论)"
FD4K,0.63,0.379,0.211,0.589,"hete = RK_conv + H618_linear (无传输, 理论)"
FD8K,0.83,0.407,0.422,0.829,"hete = RK_conv + H618_linear (无传输, 理论)"
FD16K,1.231,0.464,0.843,1.307,"hete = RK_conv + H618_linear (无传输, 理论)"
FD32K,2.031,0.577,1.687,2.263,"hete = RK_conv + H618_linear (无传输, 理论)"
FD64K,3.971,1.143,3.373,4.516,"hete = RK_conv + H618_linear (无传输, 理论)"
XL1,3.06,1.607,1.687,3.293,"hete = RK_conv + H618_linear (无传输, 理论)"
XL2,5.917,4.463,1.687,6.15,"hete = RK_conv + H618_linear (无传输, 理论)"
MD1,0.384,0.133,0.211,0.344,"hete = RK_conv + H618_linear (无传输, 理论)"
MD2,1.799,0.345,1.687,2.032,"hete = RK_conv + H618_linear (无传输, 理论)"
MD3,0.802,0.379,0.422,0.8,"hete = RK_conv + H618_linear (无传输, 理论)"
MK5,2.742,1.288,1.687,2.974,"hete = RK_conv + H618_linear (无传输, 理论)"
