model_id,measured_us,pred_m1_us,err_m1_us,err_m1_pct,pred_m2_us,err_m2_us,err_m2_pct
V1,739,614.5,-124.5,-16.9,819.1,80.1,10.8
V2,1195,1408.2,213.2,17.8,1143.6,-51.4,-4.3
V3,603,980.6,377.6,62.6,366.2,-236.8,-39.3
V4,2592,3170.3,578.3,22.3,2552.8,-39.2,-1.5
V5,2395,2111.1,-283.9,-11.9,2119.7,-275.3,-11.5
V6,2502,2922.2,420.2,16.8,2451.3,-50.7,-2.0
V7,1932,1234.6,-697.4,-36.1,1761.3,-170.7,-8.8
V8,1895,1387.2,-507.8,-26.8,1823.7,-71.3,-3.8
V9,731,947.7,216.7,29.6,611.0,-120.0,-16.4
V10,1416,2774.9,1358.9,96.0,1358.1,-57.9,-4.1
V11,3191,1258.1,-1932.9,-60.6,3148.1,-42.9,-1.3
V12,2391,2390.2,-0.8,-0.0,2233.8,-157.2,-6.6
