model_id,layer_id,op_type,data_type,target,time_us,rw_kb
d3_k3,0,InputOperator,UINT8,CPU,10.0,0.0
d3_k3,1,ConvRelu,UINT8,NPU,90.0,0.0
d3_k3,2,ConvRelu,INT8,NPU,118.0,0.0
d3_k3,3,MaxPool,INT8,NPU,115.0,0.0
d3_k3,4,ConvRelu,INT8,NPU,47.0,0.0
d3_k3,5,Reshape,INT8,CPU,432.0,0.0
d3_k3,6,Split,INT8,NPU,77.0,0.0
d3_k3,7,exDataConvert,INT8,NPU,106.0,0.0
d3_k3,8,Split,FLOAT16,NPU,69.0,0.0
d3_k3,9,Conv,FLOAT16,NPU,135.0,0.0
d3_k3,10,exDataConvert,INT8,NPU,106.0,0.0
d3_k3,11,Split,FLOAT16,NPU,73.0,0.0
d3_k3,12,Conv,FLOAT16,NPU,135.0,0.0
d3_k3,13,ConvAdd,FLOAT16,NPU,135.0,0.0
d3_k3,14,exDataConvert,FLOAT16,NPU,27.0,0.0
d3_k3,15,ConvAdd,FLOAT16,NPU,134.0,0.0
d3_k3,16,exDataConvert,FLOAT16,NPU,27.0,0.0
d3_k3,17,Add,INT8,NPU,26.0,0.0
d3_k3,18,ConvAdd,INT8,NPU,58.0,0.0
d3_k3,19,Reshape,INT8,CPU,28.0,0.0
d3_k3,20,OutputOperator,INT8,CPU,7.0,0.0
cnn_test,0,InputOperator,UINT8,CPU,9.0,0.0
cnn_test,1,ConvRelu,UINT8,NPU,90.0,0.0
cnn_test,2,ConvRelu,INT8,NPU,114.0,0.0
cnn_test,3,MaxPool,INT8,NPU,141.0,0.0
cnn_test,4,ConvRelu,INT8,NPU,98.0,0.0
cnn_test,5,ConvRelu,INT8,NPU,143.0,0.0
cnn_test,6,MaxPool,INT8,NPU,62.0,0.0
cnn_test,7,Reshape,INT8,CPU,252.0,0.0
cnn_test,8,Split,INT8,NPU,53.0,0.0
cnn_test,9,Conv,INT8,NPU,85.0,0.0
cnn_test,10,ConvAdd,INT8,NPU,85.0,0.0
cnn_test,11,Reshape,INT8,CPU,19.0,0.0
cnn_test,12,OutputOperator,INT8,CPU,5.0,0.0
d5_k3,0,InputOperator,UINT8,CPU,10.0,0.0
d5_k3,1,ConvRelu,UINT8,NPU,171.0,0.0
d5_k3,2,ConvRelu,INT8,NPU,114.0,0.0
d5_k3,3,MaxPool,INT8,NPU,100.0,0.0
d5_k3,4,ConvRelu,INT8,NPU,67.0,0.0
d5_k3,5,ConvRelu,INT8,NPU,113.0,0.0
d5_k3,6,MaxPool,INT8,NPU,61.0,0.0
d5_k3,7,ConvRelu,INT8,NPU,69.0,0.0
d5_k3,8,Reshape,INT8,CPU,407.0,0.0
d5_k3,9,Split,INT8,NPU,82.0,0.0
d5_k3,10,exDataConvert,INT8,NPU,106.0,0.0
d5_k3,11,Split,FLOAT16,NPU,66.0,0.0
d5_k3,12,Conv,FLOAT16,NPU,146.0,0.0
d5_k3,13,exDataConvert,INT8,NPU,109.0,0.0
d5_k3,14,Split,FLOAT16,NPU,68.0,0.0
d5_k3,15,Conv,FLOAT16,NPU,135.0,0.0
d5_k3,16,ConvAdd,FLOAT16,NPU,135.0,0.0
d5_k3,17,exDataConvert,FLOAT16,NPU,16.0,0.0
d5_k3,18,ConvAdd,FLOAT16,NPU,135.0,0.0
d5_k3,19,exDataConvert,FLOAT16,NPU,15.0,0.0
d5_k3,20,Add,INT8,NPU,15.0,0.0
d5_k3,21,ConvAdd,INT8,NPU,55.0,0.0
d5_k3,22,Reshape,INT8,CPU,27.0,0.0
d5_k3,23,OutputOperator,INT8,CPU,7.0,0.0
d5_k5,0,InputOperator,UINT8,CPU,9.0,0.0
d5_k5,1,ConvRelu,UINT8,NPU,280.0,0.0
d5_k5,2,ConvRelu,INT8,NPU,264.0,0.0
d5_k5,3,MaxPool,INT8,NPU,101.0,0.0
d5_k5,4,ConvRelu,INT8,NPU,145.0,0.0
d5_k5,5,ConvRelu,INT8,NPU,266.0,0.0
d5_k5,6,MaxPool,INT8,NPU,62.0,0.0
d5_k5,7,ConvRelu,INT8,NPU,148.0,0.0
d5_k5,8,Reshape,INT8,CPU,426.0,0.0
d5_k5,9,Split,INT8,NPU,83.0,0.0
d5_k5,10,exDataConvert,INT8,NPU,108.0,0.0
d5_k5,11,Split,FLOAT16,NPU,66.0,0.0
d5_k5,12,Conv,FLOAT16,NPU,136.0,0.0
d5_k5,13,exDataConvert,INT8,NPU,106.0,0.0
d5_k5,14,Split,FLOAT16,NPU,67.0,0.0
d5_k5,15,Conv,FLOAT16,NPU,134.0,0.0
d5_k5,16,ConvAdd,FLOAT16,NPU,136.0,0.0
d5_k5,17,exDataConvert,FLOAT16,NPU,16.0,0.0
d5_k5,18,ConvAdd,FLOAT16,NPU,135.0,0.0
d5_k5,19,exDataConvert,FLOAT16,NPU,16.0,0.0
d5_k5,20,Add,INT8,NPU,16.0,0.0
d5_k5,21,ConvAdd,INT8,NPU,55.0,0.0
d5_k5,22,Reshape,INT8,CPU,23.0,0.0
d5_k5,23,OutputOperator,INT8,CPU,6.0,0.0
