model_id,precision,params,weight_memory_bytes,peak_activation_memory_bytes,estimated_peak_memory_bytes,max_feature_map,max_feature_map_shape,flatten_dim,depth,total_macs,largest_layer
d3_k3,int8,1423483,1423483,131072,1554555,131072,"[32, 64, 64]",32768,3,31490048,conv_2
d3_k3,fp16,1423483,2846966,262144,3109110,131072,"[32, 64, 64]",32768,3,31490048,conv_2
d5_k3,int8,1548811,1548811,131072,1679883,131072,"[32, 64, 64]",32768,5,118194176,conv_1
d5_k3,fp16,1548811,3097622,262144,3359766,131072,"[32, 64, 64]",32768,5,118194176,conv_1
d5_k5,int8,1796107,1796107,131072,1927179,131072,"[32, 64, 64]",32768,5,325812224,conv_1
d5_k5,fp16,1796107,3592214,262144,3854358,131072,"[32, 64, 64]",32768,5,325812224,conv_1
cnn_test,int8,765243,765243,131072,896315,131072,"[32, 64, 64]",16384,4,77971456,conv_2
cnn_test,fp16,765243,1530486,262144,1792630,131072,"[32, 64, 64]",16384,4,77971456,conv_2
C1_bigFM,int8,2883851,2883851,262144,3145995,262144,"[64, 64, 64]",65536,4,270598144,conv_3
C1_bigFM,fp16,2883851,5767702,524288,6291990,262144,"[64, 64, 64]",65536,4,270598144,conv_3
C3_smallFM,int8,241931,241931,131072,373003,131072,"[32, 64, 64]",4096,4,69775360,conv_1
C3_smallFM,fp16,241931,483862,262144,746006,131072,"[32, 64, 64]",4096,4,69775360,conv_1
D3_bigFlatten,int8,1539531,1539531,262144,1801675,262144,"[64, 64, 64]",32768,4,193691648,conv_2
D3_bigFlatten,fp16,1539531,3079062,524288,3603350,262144,"[64, 64, 64]",32768,4,193691648,conv_2
A5_deep,int8,848507,848507,131072,979579,131072,"[32, 64, 64]",16384,7,162906112,conv_2
A5_deep,fp16,848507,1697014,262144,1959158,131072,"[32, 64, 64]",16384,7,162906112,conv_2
B2_wideK,int8,886539,886539,131072,1017611,131072,"[32, 64, 64]",16384,4,272678912,conv_1
B2_wideK,fp16,886539,1773078,262144,2035222,131072,"[32, 64, 64]",16384,4,272678912,conv_1
V11_bigFM,int8,2846859,2846859,262144,3109003,262144,"[64, 64, 64]",65536,3,119603200,conv_3
V11_bigFM,fp16,2846859,5693718,524288,6218006,262144,"[64, 64, 64]",65536,3,119603200,conv_3
