operator_type,model_id,macs,flatten_dimension,measured_latency_us,granularity
conv_aggregate,A1,39518208,16384,1125.0,aggregate_per_model
conv_aggregate,A2,48955392,16384,988.0,aggregate_per_model
conv_aggregate,A3,86704128,16384,1077.0,aggregate_per_model
conv_aggregate,A4,124452864,16384,1577.0,aggregate_per_model
conv_aggregate,A5,162201600,16384,1390.0,aggregate_per_model
conv_aggregate,B1,97910784,16384,1090.0,aggregate_per_model
conv_aggregate,B2,271974400,16384,1615.0,aggregate_per_model
conv_aggregate,B3,198574080,16384,1314.0,aggregate_per_model
conv_aggregate,B4,171311104,16384,1736.0,aggregate_per_model
conv_aggregate,C1,267780096,65536,2865.0,aggregate_per_model
gemm_aggregate,C1,2818048,65536,1441.0,aggregate_per_model
conv_aggregate,C2,97910784,16384,1127.0,aggregate_per_model
conv_aggregate,C3,69599232,4096,790.0,aggregate_per_model
conv_aggregate,C4,154533888,16384,1458.0,aggregate_per_model
conv_aggregate,C5,69599232,16384,1252.0,aggregate_per_model
conv_aggregate,D1,135659520,8192,1231.0,aggregate_per_model
conv_aggregate,D2,97910784,16384,1222.0,aggregate_per_model
conv_aggregate,D3,192282624,32768,1997.0,aggregate_per_model
gemm_aggregate,D3,1409024,32768,720.0,aggregate_per_model
conv_aggregate,D4,267780096,65536,2756.0,aggregate_per_model
gemm_aggregate,D4,2818048,65536,1448.0,aggregate_per_model
conv_aggregate,d3_k3,30081024,32768,1192.0,aggregate_per_model
gemm_aggregate,d3_k3,1409024,32768,733.0,aggregate_per_model
conv_aggregate,cnn_test,77266944,16384,1171.0,aggregate_per_model
conv_aggregate,d5_k3,116785152,32768,1491.0,aggregate_per_model
gemm_aggregate,d5_k3,1409024,32768,717.0,aggregate_per_model
conv_aggregate,d5_k5,324403200,32768,2325.0,aggregate_per_model
gemm_aggregate,d5_k5,1409024,32768,739.0,aggregate_per_model
conv_aggregate,V1,31850496,16384,898.0,aggregate_per_model
conv_aggregate,V2,139198464,16384,1292.0,aggregate_per_model
conv_aggregate,V3,81985536,2048,784.0,aggregate_per_model
conv_aggregate,V4,376832000,32768,2292.0,aggregate_per_model
gemm_aggregate,V4,1409024,32768,718.0,aggregate_per_model
conv_aggregate,V5,233570304,32768,1965.0,aggregate_per_model
gemm_aggregate,V5,1409024,32768,738.0,aggregate_per_model
conv_aggregate,V6,343277568,32768,2103.0,aggregate_per_model
gemm_aggregate,V6,1409024,32768,707.0,aggregate_per_model
conv_aggregate,V7,115015680,32768,1713.0,aggregate_per_model
gemm_aggregate,V7,1409024,32768,874.0,aggregate_per_model
conv_aggregate,V8,135659520,32768,1686.0,aggregate_per_model
gemm_aggregate,V8,1409024,32768,708.0,aggregate_per_model
conv_aggregate,V9,77266944,8192,972.0,aggregate_per_model
conv_aggregate,V10,324403200,8192,1661.0,aggregate_per_model
conv_aggregate,V11,116785152,65536,2397.0,aggregate_per_model
gemm_aggregate,V11,2818048,65536,1425.0,aggregate_per_model
conv_aggregate,V12,271319040,32768,2093.0,aggregate_per_model
gemm_aggregate,V12,1409024,32768,720.0,aggregate_per_model
