model_id,depth,channels,kernel_size,input_size,parameters,macs,model_size_MB,best_validation_accuracy,test_accuracy,training_time
cnn_d3_c16-32-32_k3,3,"[16, 32, 32]",3,64,1423483,31490048,5.4302,0.989415,0.943785,165.83
cnn_d3_c16-32-32_k5,3,"[16, 32, 32]",5,64,1448827,84967424,5.5268,0.994261,0.971338,181.17
cnn_d3_c16-32-64_k3,3,"[16, 32, 64]",3,64,2841787,42336256,10.8406,0.992093,0.963341,176.16
cnn_d3_c16-32-64_k5,3,"[16, 32, 64]",5,64,2883515,112590848,10.9997,0.994006,0.958591,203.82
cnn_d4_c32-32-64-64_k3,4,"[32, 32, 64, 64]",3,64,770315,98615296,2.9385,0.994261,0.972684,229.6
cnn_d4_c32-32-64-64_k5,4,"[32, 32, 64, 64]",5,64,886539,272678912,3.3819,0.996429,0.971734,308.48
cnn_d4_c32-64-64-128_k3,4,"[32, 64, 64, 128]",3,64,1539531,193691648,5.8728,0.993368,0.957957,306.98
cnn_d4_c32-64-64-128_k5,4,"[32, 64, 64, 128]",5,64,1770443,535527424,6.7537,0.996429,0.971655,425.22
cnn_d5_c32-32-64-64-128_k3,5,"[32, 32, 64, 64, 128]",3,64,1548811,118194176,5.9082,0.995154,0.976722,243.14
cnn_d5_c32-32-64-64-128_k5,5,"[32, 32, 64, 64, 128]",5,64,1796107,325812224,6.8516,0.996812,0.978543,329.44
